id,title,description,link,image_link,additional_image_link,price,availability,condition,brand,mpn,gtin,product_type,google_product_category,shipping_country,shipping_service,shipping_price,shipping_weight,min_handling_time,max_handling_time,min_transit_time,max_transit_time,tax_country,tax_rate,country_of_origin,identifier_exists
44,Khaki Laptop Backpack Waterproof Travel,Khaki Laptop Backpack Waterproof Travel. Available in Khaki.,https://www.yeatru.com/product-44.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAC-002.jpg,,3.43 USD,in_stock,new,Yeatru Sourcing,YCS-BAC-002,,Home & Garden > Backpacks,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
45,White Laptop Backpack Waterproof Travel,White Laptop Backpack Waterproof Travel. Available in Black.,https://www.yeatru.com/product-45.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAC-003.png,,4.03 USD,in_stock,new,Yeatru Sourcing,YCS-BAC-003,,Home & Garden > Backpacks,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
46,Black Backpack Travel Business,Black Backpack Travel Business. Available in Black.,https://www.yeatru.com/product-46.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAC-004.png,,3.77 USD,in_stock,new,Yeatru Sourcing,YCS-BAC-004,,Home & Garden > Backpacks,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
47,White Laptop Backpack Waterproof Travel,White Laptop Backpack Waterproof Travel. Available in Black.,https://www.yeatru.com/product-47.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAC-005.png,,2.83 USD,in_stock,new,Yeatru Sourcing,YCS-BAC-005,,Home & Garden > Backpacks,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
48,College Style Backpack School Student,College Style Backpack School Student.,https://www.yeatru.com/product-48.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAC-006.png,,2.23 USD,in_stock,new,Yeatru Sourcing,YCS-BAC-006,,Home & Garden > Backpacks,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
49,School Backpack Students Lightweight Book Bag,School Backpack Students Lightweight Book Bag.,https://www.yeatru.com/product-49.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAC-007.png,,27.81 USD,in_stock,new,Yeatru Sourcing,YCS-BAC-007,,Home & Garden > Backpacks,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
50,Floral Print Backpack Travel Lightweight,Floral Print Backpack Travel Lightweight. Available in Floral.,https://www.yeatru.com/product-50.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAC-008.png,,2.23 USD,in_stock,new,Yeatru Sourcing,YCS-BAC-008,,Home & Garden > Backpacks,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
51,Pink School Backpack Students Lightweight,Pink School Backpack Students Lightweight. Available in Pink.,https://www.yeatru.com/product-51.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAC-009.png,,3.35 USD,in_stock,new,Yeatru Sourcing,YCS-BAC-009,,Home & Garden > Backpacks,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
52,Card Holder Wallet Card Slots Compact,"Card Holder Wallet Card Slots Compact. Available in Black, Gray.",https://www.yeatru.com/product-52.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAG-001-001.png,,1.66 USD,in_stock,new,Yeatru Sourcing,YCS-BAG-001,,Home & Garden > Bags,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
53,Wash Storage Bag Portable Travel Pouch,Wash Storage Bag Portable Travel Pouch.,https://www.yeatru.com/product-53.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAG-002.png,,3.26 USD,in_stock,new,Yeatru Sourcing,YCS-BAG-002,,Home & Garden > Bags,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
54,Women's Handbag Fashion Portable Shoulder,Women's Handbag Fashion Portable Shoulder. Sizes: S.,https://www.yeatru.com/product-54.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAG-003.png,,2.03 USD,in_stock,new,Yeatru Sourcing,YCS-BAG-003,,Home & Garden > Bags,,US,Standard DDP,0.00 USD,s,3,7,7,35,US,0.00,CN,no
55,Card Holder Wallet Slots Compact,Card Holder Wallet Slots Compact. Available in Navy.,https://www.yeatru.com/product-55.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAG-005.png,,1.66 USD,in_stock,new,Yeatru Sourcing,YCS-BAG-005,,Home & Garden > Bags,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
56,Plastic Wrap Dispenser Cutter Kitchen Slide 4 Colors,Plastic Wrap Dispenser Cutter Kitchen Slide 4 Colors. Available in Yellow.,https://www.yeatru.com/product-56.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAG-006-001.png,,1.03 USD,in_stock,new,Yeatru Sourcing,YCS-BAG-006,,Home & Garden > Bags,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
57,Brown Small Square Bag Women's Fashion Crossbody,"Brown Small Square Bag Women's Fashion Crossbody. Available in Black, Brown. Sizes: S.",https://www.yeatru.com/product-57.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAG-007-001.png,,1.37 USD,in_stock,new,Yeatru Sourcing,YCS-BAG-007,,Home & Garden > Bags,,US,Standard DDP,0.00 USD,s,3,7,7,35,US,0.00,CN,no
58,Red Portable Medicine Bag First Aid Kit,Red Portable Medicine Bag First Aid Kit. Available in Red.,https://www.yeatru.com/product-58.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAG-009.png,,0.19 USD,in_stock,new,Yeatru Sourcing,YCS-BAG-009,,Home & Garden > Bags,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
59,Black Bag Portable Laptop,Black Bag Portable Laptop. Available in Black.,https://www.yeatru.com/product-59.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BAG-010.png,,4.98 USD,in_stock,new,Yeatru Sourcing,YCS-BAG-010,,Home & Garden > Bags,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
60,Electric Breast Pump Breastfeeding Portable,"Electric Breast Pump Breastfeeding Portable. Available in Green, Pink.",https://www.yeatru.com/product-60.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BBC-001-001.png,,0.50 USD,in_stock,new,Yeatru Sourcing,YCS-BBC-001,,Home & Garden > Baby Care,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
61,Green Baby Nasal Aspirator Infant Safe,Green Baby Nasal Aspirator Infant Safe. Available in Green.,https://www.yeatru.com/product-61.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BBC-002.png,,2.66 USD,in_stock,new,Yeatru Sourcing,YCS-BBC-002,,Home & Garden > Baby Care,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
62,Light Blue Wearable Breast Pump Hands-Free Electric,Light Blue Wearable Breast Pump Hands-Free Electric. Available in Blue.,https://www.yeatru.com/product-62.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BBC-003.png,,4.63 USD,in_stock,new,Yeatru Sourcing,YCS-BBC-003,,Home & Garden > Baby Care,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
63,Black Postpartum Belly Wrap Belt Recovery Shapewear,Black Postpartum Belly Wrap Belt Recovery Shapewear. Available in Black. Sizes: XXL/XL/L/M.,https://www.yeatru.com/product-63.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BBC-004.png,,1.42 USD,in_stock,new,Yeatru Sourcing,YCS-BBC-004,,Home & Garden > Baby Care,,US,Standard DDP,0.00 USD,xxl/xl/l/m,3,7,7,35,US,0.00,CN,no
64,Baby Bed Rail Guard Toddler Safety,Baby Bed Rail Guard Toddler Safety.,https://www.yeatru.com/product-64.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BBC-005.png,,28.84 USD,in_stock,new,Yeatru Sourcing,YCS-BBC-005,,Home & Garden > Baby Care,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
65,Pink Baby Care Product Infant,"Pink Baby Care Product Infant. Available in Blue, Pink.",https://www.yeatru.com/product-65.html,https://cdn.jsdelivr.net/gh/Yeatru/Image@main/Images/YCS-BBC-006-001.png,,3.18 USD,in_stock,new,Yeatru Sourcing,YCS-BBC-006,,Home & Garden > Baby Care,,US,Standard DDP,0.00 USD,,3,7,7,35,US,0.00,CN,no
